"SNo.","Procedure Name","Speciality Classification","Tier","Facility","Ward","Cghs Code No.","Rate (₹)"
"1","Consultation OPD","Consultation","TIER I","NON NABH","SEMI PRIVATE WARD","CN001","350.00"
"2","Consultation for Inpatients","Consultation","TIER I","NON NABH","SEMI PRIVATE WARD","CN002","350.00"
"3","Consultation OPD- Super speciality/Psychiatry","Consultation","TIER I","NON NABH","SEMI PRIVATE WARD","CN003","700.00"
"4","Urine Routine- pH, Specific Gravity, Sugar, Protein and Microscopy","Laboratory Investigation","TIER I","NON NABH","SEMI PRIVATE WARD","LB001","85.00"
"5","Urine Microalbumin","Laboratory Investigation","TIER I","NON NABH","SEMI PRIVATE WARD","LB002","207.00"
"6","Stool Routine and Microscopy","Laboratory Investigation","TIER I","NON NABH","SEMI PRIVATE WARD","LB003","68.00"
"7","Stool for Occult Blood","Laboratory Investigation","TIER I","NON NABH","SEMI PRIVATE WARD","LB004","85.00"
"8","Post Coital Smear Examination","Laboratory Investigation","TIER I","NON NABH","SEMI PRIVATE WARD","LB005","340.00"
"9","Semen Analysis (Automated/Manual)","Laboratory Investigation","TIER I","NON NABH","SEMI PRIVATE WARD","LB006","213.00"
"10","Haemoglobin (Hb)","Laboratory Investigation","TIER I","NON NABH","SEMI PRIVATE WARD","LB007","43.00"
"11","Total Leucocytic Count (TLC)","Laboratory Investigation","TIER I","NON NABH","SEMI PRIVATE WARD","LB008","43.00"
"12","Differential Leucocytic Count (DLC)","Laboratory Investigation","TIER I","NON NABH","SEMI PRIVATE WARD","LB009","85.00"
"13","Erythrocyte Sedimentation Rate (ESR)","Laboratory Investigation","TIER I","NON NABH","SEMI PRIVATE WARD","LB010","85.00"
"14","Total Red Cell count with MCV,MCH,MCHC,DRW","Laboratory Investigation","TIER I","NON NABH","SEMI PRIVATE WARD","LB011","43.00"
"15","Complete Haemogram/CBC, Hb,RBC Count and Indices,TLC, DLC, Platelet, ESR, Peripheral Smear Examination)","Laboratory Investigation","TIER I","NON NABH","SEMI PRIVATE WARD","LB012","255.00"
"16","Platelet Count","Laboratory Investigation","TIER I","NON NABH","SEMI PRIVATE WARD","LB013","85.00"
