"SNo.","Procedure Name","Speciality Classification","Tier","Facility","Ward","Cghs Code No.","Rate (₹)"
"1","Consultation OPD","Consultation","TIER II","NABH","SEMI PRIVATE WARD","CN001","350.00"
"2","Consultation for Inpatients","Consultation","TIER II","NABH","SEMI PRIVATE WARD","CN002","350.00"
"3","Consultation OPD- Super speciality/Psychiatry","Consultation","TIER II","NABH","SEMI PRIVATE WARD","CN003","700.00"
"4","Urine Routine- pH, Specific Gravity, Sugar, Protein and Microscopy","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB001","90.00"
"5","Urine Microalbumin","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB002","219.00"
"6","Stool Routine and Microscopy","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB003","72.00"
"7","Stool for Occult Blood","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB004","90.00"
"8","Post Coital Smear Examination","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB005","360.00"
"9","Semen Analysis (Automated/Manual)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB006","225.00"
"10","Haemoglobin (Hb)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB007","45.00"
"11","Total Leucocytic Count (TLC)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB008","45.00"
"12","Differential Leucocytic Count (DLC)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB009","90.00"
"13","Erythrocyte Sedimentation Rate (ESR)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB010","90.00"
"14","Total Red Cell count with MCV,MCH,MCHC,DRW","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB011","45.00"
"15","Complete Haemogram/CBC, Hb,RBC Count and Indices,TLC, DLC, Platelet, ESR, Peripheral Smear Examination)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB012","270.00"
"16","Platelet Count","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB013","90.00"
"17","Reticulocyte Count","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB014","90.00"
"18","Absolute Eosinophil Count (AEC)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB015","90.00"
"19","Packed Cell Volume (PCV)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB016","45.00"
"20","Peripheral Smear Examination","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB017","90.00"
"21","Smear for Malaria/Filaria Parasite","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB018","90.00"
"22","Bleeding Time","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB019","45.00"
"23","Clotting Time","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB020","45.00"
"24","Osmotic Fragility Test","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB021","270.00"
