"SNo.","Procedure Name","Speciality Classification","Tier","Facility","Ward","Cghs Code No.","Rate (₹)"
"25","Bone Marrow Smear Examination","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB022","315.00"
"26","Bone Marrow Smear Examination with Iron Stain","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB023","720.00"
"27","Bone Marrow Smear Examination and Cytochemistry","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB024","10800.00"
"28","Activated Partial Thromboplastin Time (APTT)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB025","261.00"
"29","Rapid Test for Malaria (Card Test)/QBC Malaria Test","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB026","90.00"
"30","Bleeding Disorder Panel- PT, APTT, Thrombin Time Fibrinogen, D-Dimer/ Fibrinogen Degradation Products (FDP)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB027","720.00"
"31","Factor Assays-Factor VIII","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB028","1350.00"
"32","Factor Assays-Factor IX","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB029","1350.00"
"33","Platelet Function Tests","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB030","1139.00"
"34","Tests for Hypercoagulable States- Protein C, Protein S, Antithrombin","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB031","3042.00"
"35","Tests for Lupus Anticoagulant","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB032","1170.00"
"36","Tests for Antiphospholipid Antibody IgG, IgM (for Cardiolipin and B2 Glycoprotein 1)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB033","900.00"
"37","Thalassemia Studies (Red Cell Indices and Hb HPLC)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB034","900.00"
"38","Tests for Sickling / Hb HPLC)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB035","900.00"
"39","Blood Group & Rh Type","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB036","81.00"
"40","Cross Match","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB037","180.00"
"41","Coomb-s Test - Direct","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB038","180.00"
"42","Coomb-s Test - Indirect","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB039","225.00"
"43","3 Cell Panel- Antibody Screening for Pregnant Female","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB040","945.00"
"44","11 Cells Panel for Antibody Identification","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB041","2057.00"
"45","Hepatitis B Surface Antigen (HBsAg)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB042","270.00"
"46","Hepatitis C Virus (HCV)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB043","450.00"
"47","Human Immunodeficiency Virus- HIV I and II","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB044","347.00"
"48","Venereal Disease Research Laboratory Test (VDRL)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB045","90.00"
"49","Rh Antibody Titre","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB046","270.00"
"50","Platelet Concentrate Test","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB047","900.00"
"51","Routine - H & E","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB048","491.00"
"52","Special Stain","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB049","180.00"
"53","Histopathology Examination (HPE) - Frozen Section","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB050","1350.00"
"54","Histopathology Examination (HPE) - Paraffin Section","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB051","450.00"
"55","Pap Smear","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB052","360.00"
"56","Body Fluid for Malignant cells","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB053","315.00"
"57","Paroxysmal Nocturnal Haemoglobinuria (PNH) Panel- CD55, CD59","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB054","1350.00"
"58","Blood Glucose Random / Blood Glucose Fasting /Blood Glucose PP","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB055","36.00"
"59","24 Hrs Urine for Proteins, Sodium, Creatinine","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB056","270.00"
"60","Blood Urea Nitrogen (BUN) / Urea","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB057","90.00"
"61","Serum Creatinine","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB058","90.00"
"62","Urine Bile Pigment and Salt","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB059","63.00"
"63","Urine Urobilinogen","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB060","63.00"
"64","Urine Ketones","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB061","63.00"
"65","Urine Occult Blood","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB062","63.00"
"66","Urine Total Proteins","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB063","63.00"
"67","Rheumatoid Factor / Rh Factor Test","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB064","675.00"
"68","Bence Jones Protein","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB065","90.00"
"69","Serum Uric Acid","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB066","135.00"
"70","Serum Bilirubin total & direct","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB067","135.00"
"71","Serum Iron","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB068","225.00"
"72","C-Reactive Protein (CRP)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB069","225.00"
"73","C-Reactive Protein (CRP) Quantitative","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB070","270.00"
"74","Body Fluid (CSF/Ascitic Fluid etc.) Sugar, Protein etc.","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB071","270.00"
"75","Albumin","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB072","45.00"
"76","Creatinine Clearance","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB073","180.00"
"77","Serum Cholesterol","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB074","135.00"
"78","Total Iron Binding Capacity (TIBC)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB075","270.00"
"79","Glucose (Fasting & PP)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB076","72.00"
"80","Serum Calcium -Total","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB077","135.00"
"81","Serum Calcium - Ionic","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB078","540.00"
"82","Serum Phosphorus","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB079","135.00"
"83","Total Protein Albumin/Globulin Ratio (A/G Ratio)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB080","63.00"
"84","Immunoglobulin G (IgG)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB081","360.00"
"85","Immunoglobulin M(IgM)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB082","360.00"
"86","Immunoglobulin A(IgA)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB083","360.00"
"87","Antinuclear Antibody (ANA)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB084","590.00"
"88","Anti-double stranded DNA (anti-dsDNA)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB085","720.00"
"89","Serum Glutamic Pyruvic Transaminase (SGPT) / Alanine Aminotransferase (ALT)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB086","90.00"
"90","Serum Glutamic Oxaloacetic Transaminase (SGOT) /Aspartate Aminotransferase (AST)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB087","90.00"
"91","Serum Amylase","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB088","270.00"
"92","Serum Lipase","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB089","360.00"
"93","Serum Lactate","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB090","450.00"
"94","Serum Magnesium","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB091","270.00"
"95","Serum Sodium","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB092","108.00"
"96","Serum Potassium","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB093","108.00"
"97","Chloride","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB094","135.00"
"98","Serum Bicarbonate","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB095","180.00"
"99","Serum Ammonia","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB096","603.00"
"100","Anaemia Profile (Hb, Serum Iron, TIBC, Ferritin, Transferrin Saturation,Stool Occult Blood, CBC, Reticulocyte Count)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB097","1188.00"
"101","Serum Testosterone","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB098","360.00"
"102","Imprint Smear from Endoscopy","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB099","900.00"
"103","Triglycerides","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB100","135.00"
"104","Glucose Tolerance Test (GTT)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB101","270.00"
"105","Triple Marker Test (AFP,HCG,UE3)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB102","1350.00"
"106","Creatine Phosphokinase (CPK)/Creatine Kinase (CK)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB103","207.00"
"107","Foetal Haemoglobin (HbF)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB104","450.00"
"108","Prothrombin Time (PT)/ International normalized ratio (INR)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB105","225.00"
"109","Lactate dehydrogenase (LDH)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB106","198.00"
"110","Alkaline Phosphatase","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB107","135.00"
"111","Acid Phosphatase","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB108","135.00"
"112","CPK MB/CK MB","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB109","324.00"
"113","CK MB Mass/CPK MB Mass","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB110","324.00"
"114","Troponin I","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB111","630.00"
"115","Troponin T","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB112","630.00"
"116","Glucose-6-Phosphate Dehydrogenase (G6PD)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB113","270.00"
"117","Lithium","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB114","315.00"
"118","Dilantin (Phenytoin)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB115","540.00"
"119","Carbamazepine.","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB116","630.00"
"120","Cyclosporine","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB117","2250.00"
"121","Valproic acid.","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB118","540.00"
"122","Blood gas analysis / Arterial Blood Gas (ABG)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB119","504.00"
"123","Blood gas analysis / Arterial Blood Gas (ABG) with electrolytes","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB120","720.00"
"124","Urine Pregnancy Test(UPT)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB121","90.00"
"125","Glycosylated Haemoglobin (HbA1c)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB122","270.00"
"126","Kidney Function Test (KFT)- (Sr.Creatinine,Blood Urea,BUN,Sr.Uric Acid,Sr.Sodium,Sr.Potassium,Urine R/E)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB123","450.00"
"127","Liver Function Test (LFT)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB124","450.00"
"128","Lipid Profile (Total cholesterol ,Triglycerides, LDL, HDL,VLDL)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB125","441.00"
"129","Serum Ferritin","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB126","315.00"
"130","Vitamin B12 Assay.","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB127","540.00"
"131","Folic Acid Assay.","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB128","585.00"
"132","Extended Lipid Profile. (Total cholesterol, LDL,HDL, Triglycerides Apo A1, Apo B,Lp (a) )","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB129","900.00"
"133","Apolipoprotein A1 (ApoA1)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB130","360.00"
"134","Apolipoprotein B (Apo B)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB131","360.00"
"135","Lipoprotein A / Lp A","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB132","360.00"
"136","CD 3,4 and 8 Counts","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB133","1116.00"
"137","CD 3,4 and 8 Percentage","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB134","1359.00"
"138","Low Density Lipoprotein (LDL)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB135","135.00"
"139","Homocysteine","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB136","585.00"
"140","Serum Electrophoresis","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB137","630.00"
"141","Fibrinogen","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB138","450.00"
"142","Gamma-Glutamyl Transpeptidase (GGTP)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB139","135.00"
"143","Fructosamine","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB140","450.00"
"144","Beta 2 microglobulin (B2M) /_2 microglobulin","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB141","540.00"
"145","Prostate Specific Antigen (PSA)- Total","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB142","428.00"
"146","Prostate-Specific Antigen (PSA) - Free","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB143","720.00"
"147","Alpha Fetoprotein (AFP)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB144","495.00"
"148","Human Chorionic Gonadotropin (HCG)/ Beta HCG","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB145","405.00"
"149","Cancer Antigen 125 (CA 125)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB146","720.00"
"150","Cancer Antigen 19.9 (CA 19.9)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB147","720.00"
"151","Cancer Antigen 15.3 (CA 15.3)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB148","720.00"
"152","Vanillylmandelic Acid (VMA)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB149","1440.00"
"153","Calcitonin","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB150","1080.00"
"154","Carcinoembryonic Antigen (CEA)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB151","540.00"
"155","Direct Immunofluorescence (Skin and Kidney Disease etc)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB152","1080.00"
"156","Indirect (anti ds DNA Anti Smith ANCA)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB153","1080.00"
"157","Calcidiol / 25-hydroxycholecalciferol / Vitamin D3 assay (Vit D3)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB154","900.00"
"158","Serum Protein electrophoresis with immunofixation electrophoresis (IFE)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB155","630.00"
"159","Anti-Cyclic Citrullinated Peptide (Anti CCP)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB156","810.00"
"160","Anti-tissue Transglutaminase antibody (Anti TTG Antibody) / Tissue Transglutaminase IgA (tTg-IgA)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB157","720.00"
"161","Serum Erythropoietin","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB158","1080.00"
"162","Adrenocorticotropic Hormone (ACTH)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB159","1080.00"
"163","T3, T4, TSH -Thyroid Function Test (TFT)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB160","405.00"
"164","Thyroid stimulating hormone (TSH)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB161","180.00"
"165","Luteinizing hormone (LH)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB162","360.00"
"166","Follicle stimulating hormone (FSH)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB163","360.00"
"167","Prolactin","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB164","360.00"
"168","Cortisol","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB165","495.00"
"169","PTH(Parathormone)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB166","900.00"
"170","C-Peptide (Connecting Peptide)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB167","675.00"
"171","Insulin","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB168","450.00"
"172","Progesterone","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB169","360.00"
"173","17 Hydroxyprogesterone (17 OH Progesterone)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB170","675.00"
"174","Dehydroepiandrosterone sulfate (DHEAS)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB171","900.00"
"175","Androstenedione","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB172","900.00"
"176","Growth Hormone","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB173","540.00"
"177","Thyroid peroxidase antibody (TPO)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB174","630.00"
"178","Thyroglobulin.","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB175","630.00"
"179","Hydatid Serology","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB176","738.00"
"180","Anti Sperm Antibodies.","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB177","810.00"
"181","Hepatitis B Virus (HBV) DNA Qualitative","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB178","2250.00"
"182","Hepatitis B Virus (HBV) DNA Quantitative.","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB179","3150.00"
"183","Hepatitis C Virus (HCV) RNA Qualitative.","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB180","2700.00"
"184","Human papillomavirus (HPV) Serology","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB181","1440.00"
"185","Rota Virus serology","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB182","360.00"
"186","Mantoux Test","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB183","180.00"
"187","ADA( Adenosine deaminase)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB184","585.00"
"188","GeneXpert Test (Tuberculosis)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB185","932.00"
"189","QuantiFERON TB Gold","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB186","2250.00"
"190","PCR for Tuberculosis (TB)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB187","1080.00"
"191","PCR for Human immunodeficiency virus (HIV)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB188","1620.00"
"192","Chlamydia antigen","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB189","900.00"
"193","Chlamydia antibody","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB190","765.00"
"194","Brucella serology","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB191","405.00"
"195","Influenza A serology","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB192","900.00"
"196","Acetylcholine receptor (AChR) antibody titre","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB193","4050.00"
"197","Anti muscle specific receptor tyrosine kinase (Anti MuSK) antibody titre","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB194","6030.00"
"198","Serum Copper","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB195","585.00"
"199","Serum Ceruloplasmin","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB196","585.00"
"200","Urinary copper","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB197","756.00"
"201","Serum phenobarbitone level","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB198","540.00"
"202","Coagulation profile","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB199","675.00"
"203","D-Dimer","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB200","450.00"
"204","CSF/Any Body Fluid for Basic studies including cell count, protein, sugar, gram stain, India Ink preparation and smear for AFB","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB201","315.00"
"205","PCR for Herpes simplex","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB202","1260.00"
"206","Bacterial culture and sensitivity - Aerobic","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB203","414.00"
"207","Bacterial culture and sensitivity - Anaerobic","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB204","630.00"
"208","Mycobacterial culture and sensitivity","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB205","495.00"
"209","Fungal culture","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB206","446.00"
"210","Anti measles antibody titre (with serum antibody titre)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB207","1080.00"
"211","Viral culture","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB208","540.00"
"212","Antibody titre (Herpes simplex, cytomegalovirus, flavivirus, zoster varicella virus)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB209","1890.00"
"213","Oligoclonal bands (OCBs)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB210","2025.00"
"214","Myelin basic protein (MBP)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB211","3150.00"
"215","Cryptococcal antigen","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB212","1350.00"
"216","D Xylose test","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB213","990.00"
"217","Faecal / Faecal fat test/ faecal chymotrypsin/ faecal elastase","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB214","900.00"
"218","H pylori serology for Coeliac disease /Celiac disease","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB215","1080.00"
"219","HBV genotyping","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB216","2588.00"
"220","HCV genotyping","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB217","5045.00"
"221","Urinary Vanillylmandelic Acid (VMA)","Laboratory Investigation","TIER II","NABH","SEMI PRIVATE WARD","LB218","1967.00"
