"SNo.","Procedure Name","Speciality Classification","Tier","Facility","Ward","Cghs Code No.","Rate (₹)"
"36","Tests for Antiphospholipid Antibody IgG, IgM (for Cardiolipin and B2 Glycoprotein 1)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB033","800.00"
"37","Thalassemia Studies (Red Cell Indices and Hb HPLC)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB034","800.00"
"38","Tests for Sickling / Hb HPLC)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB035","800.00"
"39","Blood Group & Rh Type","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB036","72.00"
"40","Cross Match","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB037","160.00"
"41","Coomb-s Test - Direct","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB038","160.00"
"42","Coomb-s Test - Indirect","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB039","200.00"
"43","3 Cell Panel- Antibody Screening for Pregnant Female","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB040","840.00"
"44","11 Cells Panel for Antibody Identification","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB041","1828.00"
"45","Hepatitis B Surface Antigen (HBsAg)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB042","240.00"
"46","Hepatitis C Virus (HCV)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB043","400.00"
"47","Human Immunodeficiency Virus- HIV I and II","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB044","308.00"
"48","Venereal Disease Research Laboratory Test (VDRL)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB045","80.00"
"49","Rh Antibody Titre","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB046","240.00"
"50","Platelet Concentrate Test","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB047","800.00"
"51","Routine - H & E","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB048","436.00"
"52","Special Stain","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB049","160.00"
"53","Histopathology Examination (HPE) - Frozen Section","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB050","1200.00"
"54","Histopathology Examination (HPE) - Paraffin Section","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB051","400.00"
"55","Pap Smear","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB052","320.00"
"56","Body Fluid for Malignant cells","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB053","280.00"
"57","Paroxysmal Nocturnal Haemoglobinuria (PNH) Panel- CD55, CD59","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB054","1200.00"
"58","Blood Glucose Random / Blood Glucose Fasting /Blood Glucose PP","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB055","32.00"
"59","24 Hrs Urine for Proteins, Sodium, Creatinine","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB056","240.00"
"60","Blood Urea Nitrogen (BUN) / Urea","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB057","80.00"
"61","Serum Creatinine","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB058","80.00"
"62","Urine Bile Pigment and Salt","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB059","56.00"
"63","Urine Urobilinogen","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB060","56.00"
"64","Urine Ketones","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB061","56.00"
"65","Urine Occult Blood","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB062","56.00"
"66","Urine Total Proteins","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB063","56.00"
"67","Rheumatoid Factor / Rh Factor Test","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB064","600.00"
"68","Bence Jones Protein","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB065","80.00"
"69","Serum Uric Acid","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB066","120.00"
"70","Serum Bilirubin total & direct","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB067","120.00"
"71","Serum Iron","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB068","200.00"
"72","C-Reactive Protein (CRP)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB069","200.00"
"73","C-Reactive Protein (CRP) Quantitative","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB070","240.00"
"74","Body Fluid (CSF/Ascitic Fluid etc.) Sugar, Protein etc.","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB071","240.00"
"75","Albumin","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB072","40.00"
"76","Creatinine Clearance","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB073","160.00"
"77","Serum Cholesterol","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB074","120.00"
"78","Total Iron Binding Capacity (TIBC)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB075","240.00"
"79","Glucose (Fasting & PP)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB076","64.00"
"80","Serum Calcium -Total","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB077","120.00"
"81","Serum Calcium - Ionic","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB078","480.00"
"82","Serum Phosphorus","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB079","120.00"
"83","Total Protein Albumin/Globulin Ratio (A/G Ratio)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB080","56.00"
"84","Immunoglobulin G (IgG)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB081","320.00"
"85","Immunoglobulin M(IgM)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB082","320.00"
"86","Immunoglobulin A(IgA)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB083","320.00"
"87","Antinuclear Antibody (ANA)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB084","524.00"
"88","Anti-double stranded DNA (anti-dsDNA)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB085","640.00"
"89","Serum Glutamic Pyruvic Transaminase (SGPT) / Alanine Aminotransferase (ALT)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB086","80.00"
"90","Serum Glutamic Oxaloacetic Transaminase (SGOT) /Aspartate Aminotransferase (AST)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB087","80.00"
"91","Serum Amylase","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB088","240.00"
"92","Serum Lipase","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB089","320.00"
"93","Serum Lactate","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB090","400.00"
"94","Serum Magnesium","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB091","240.00"
"95","Serum Sodium","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB092","96.00"
"96","Serum Potassium","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB093","96.00"
"97","Chloride","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB094","120.00"
"98","Serum Bicarbonate","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB095","160.00"
"99","Serum Ammonia","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB096","536.00"
"100","Anaemia Profile (Hb, Serum Iron, TIBC, Ferritin, Transferrin Saturation,Stool Occult Blood, CBC, Reticulocyte Count)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB097","1056.00"
"101","Serum Testosterone","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB098","320.00"
"102","Imprint Smear from Endoscopy","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB099","800.00"
"103","Triglycerides","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB100","120.00"
"104","Glucose Tolerance Test (GTT)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB101","240.00"
"105","Triple Marker Test (AFP,HCG,UE3)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB102","1200.00"
"106","Creatine Phosphokinase (CPK)/Creatine Kinase (CK)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB103","184.00"
"107","Foetal Haemoglobin (HbF)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB104","400.00"
"108","Prothrombin Time (PT)/ International normalized ratio (INR)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB105","200.00"
"109","Lactate dehydrogenase (LDH)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB106","176.00"
"110","Alkaline Phosphatase","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB107","120.00"
"111","Acid Phosphatase","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB108","120.00"
"112","CPK MB/CK MB","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB109","288.00"
"113","CK MB Mass/CPK MB Mass","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB110","288.00"
"114","Troponin I","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB111","560.00"
"115","Troponin T","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB112","560.00"
"116","Glucose-6-Phosphate Dehydrogenase (G6PD)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB113","240.00"
"117","Lithium","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB114","280.00"
"118","Dilantin (Phenytoin)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB115","480.00"
"119","Carbamazepine.","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB116","560.00"
"120","Cyclosporine","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB117","2000.00"
"121","Valproic acid.","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB118","480.00"
"122","Blood gas analysis / Arterial Blood Gas (ABG)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB119","448.00"
"123","Blood gas analysis / Arterial Blood Gas (ABG) with electrolytes","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB120","640.00"
"124","Urine Pregnancy Test(UPT)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB121","80.00"
"125","Glycosylated Haemoglobin (HbA1c)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB122","240.00"
"126","Kidney Function Test (KFT)- (Sr.Creatinine,Blood Urea,BUN,Sr.Uric Acid,Sr.Sodium,Sr.Potassium,Urine R/E)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB123","400.00"
"127","Liver Function Test (LFT)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB124","400.00"
"128","Lipid Profile (Total cholesterol ,Triglycerides, LDL, HDL,VLDL)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB125","392.00"
"129","Serum Ferritin","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB126","280.00"
"130","Vitamin B12 Assay.","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB127","480.00"
"131","Folic Acid Assay.","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB128","520.00"
"132","Extended Lipid Profile. (Total cholesterol, LDL,HDL, Triglycerides Apo A1, Apo B,Lp (a) )","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB129","800.00"
"133","Apolipoprotein A1 (ApoA1)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB130","320.00"
"134","Apolipoprotein B (Apo B)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB131","320.00"
"135","Lipoprotein A / Lp A","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB132","320.00"
"136","CD 3,4 and 8 Counts","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB133","992.00"
"137","CD 3,4 and 8 Percentage","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB134","1208.00"
"138","Low Density Lipoprotein (LDL)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB135","120.00"
"139","Homocysteine","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB136","520.00"
"140","Serum Electrophoresis","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB137","560.00"
"141","Fibrinogen","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB138","400.00"
"142","Gamma-Glutamyl Transpeptidase (GGTP)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB139","120.00"
"143","Fructosamine","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB140","400.00"
"144","Beta 2 microglobulin (B2M) /_2 microglobulin","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB141","480.00"
"145","Prostate Specific Antigen (PSA)- Total","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB142","380.00"
"146","Prostate-Specific Antigen (PSA) - Free","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB143","640.00"
"147","Alpha Fetoprotein (AFP)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB144","440.00"
"148","Human Chorionic Gonadotropin (HCG)/ Beta HCG","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB145","360.00"
"149","Cancer Antigen 125 (CA 125)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB146","640.00"
"150","Cancer Antigen 19.9 (CA 19.9)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB147","640.00"
"151","Cancer Antigen 15.3 (CA 15.3)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB148","640.00"
"152","Vanillylmandelic Acid (VMA)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB149","1280.00"
"153","Calcitonin","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB150","960.00"
"154","Carcinoembryonic Antigen (CEA)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB151","480.00"
"155","Direct Immunofluorescence (Skin and Kidney Disease etc)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB152","960.00"
"156","Indirect (anti ds DNA Anti Smith ANCA)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB153","960.00"
"157","Calcidiol / 25-hydroxycholecalciferol / Vitamin D3 assay (Vit D3)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB154","800.00"
"158","Serum Protein electrophoresis with immunofixation electrophoresis (IFE)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB155","560.00"
"159","Anti-Cyclic Citrullinated Peptide (Anti CCP)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB156","720.00"
"160","Anti-tissue Transglutaminase antibody (Anti TTG Antibody) / Tissue Transglutaminase IgA (tTg-IgA)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB157","640.00"
"161","Serum Erythropoietin","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB158","960.00"
"162","Adrenocorticotropic Hormone (ACTH)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB159","960.00"
"163","T3, T4, TSH -Thyroid Function Test (TFT)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB160","360.00"
"164","Thyroid stimulating hormone (TSH)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB161","160.00"
"165","Luteinizing hormone (LH)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB162","320.00"
"166","Follicle stimulating hormone (FSH)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB163","320.00"
"167","Prolactin","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB164","320.00"
"168","Cortisol","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB165","440.00"
"169","PTH(Parathormone)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB166","800.00"
"170","C-Peptide (Connecting Peptide)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB167","600.00"
"171","Insulin","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB168","400.00"
"172","Progesterone","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB169","320.00"
"173","17 Hydroxyprogesterone (17 OH Progesterone)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB170","600.00"
"174","Dehydroepiandrosterone sulfate (DHEAS)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB171","800.00"
"175","Androstenedione","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB172","800.00"
"176","Growth Hormone","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB173","480.00"
"177","Thyroid peroxidase antibody (TPO)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB174","560.00"
"178","Thyroglobulin.","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB175","560.00"
"179","Hydatid Serology","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB176","656.00"
"180","Anti Sperm Antibodies.","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB177","720.00"
"181","Hepatitis B Virus (HBV) DNA Qualitative","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB178","2000.00"
"182","Hepatitis B Virus (HBV) DNA Quantitative.","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB179","2800.00"
"183","Hepatitis C Virus (HCV) RNA Qualitative.","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB180","2400.00"
"184","Human papillomavirus (HPV) Serology","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB181","1280.00"
"185","Rota Virus serology","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB182","320.00"
"186","Mantoux Test","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB183","160.00"
"187","ADA( Adenosine deaminase)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB184","520.00"
"188","GeneXpert Test (Tuberculosis)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB185","828.00"
"189","QuantiFERON TB Gold","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB186","2000.00"
"190","PCR for Tuberculosis (TB)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB187","960.00"
"191","PCR for Human immunodeficiency virus (HIV)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB188","1440.00"
"192","Chlamydia antigen","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB189","800.00"
"193","Chlamydia antibody","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB190","680.00"
"194","Brucella serology","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB191","360.00"
"195","Influenza A serology","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB192","800.00"
"196","Acetylcholine receptor (AChR) antibody titre","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB193","3600.00"
"197","Anti muscle specific receptor tyrosine kinase (Anti MuSK) antibody titre","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB194","5360.00"
"198","Serum Copper","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB195","520.00"
"199","Serum Ceruloplasmin","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB196","520.00"
"200","Urinary copper","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB197","672.00"
"201","Serum phenobarbitone level","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB198","480.00"
"202","Coagulation profile","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB199","600.00"
"203","D-Dimer","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB200","400.00"
"204","CSF/Any Body Fluid for Basic studies including cell count, protein, sugar, gram stain, India Ink preparation and smear for AFB","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB201","280.00"
"205","PCR for Herpes simplex","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB202","1120.00"
"206","Bacterial culture and sensitivity - Aerobic","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB203","368.00"
"207","Bacterial culture and sensitivity - Anaerobic","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB204","560.00"
"208","Mycobacterial culture and sensitivity","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB205","440.00"
"209","Fungal culture","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB206","396.00"
"210","Anti measles antibody titre (with serum antibody titre)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB207","960.00"
"211","Viral culture","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB208","480.00"
"212","Antibody titre (Herpes simplex, cytomegalovirus, flavivirus, zoster varicella virus)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB209","1680.00"
"213","Oligoclonal bands (OCBs)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB210","1800.00"
"214","Myelin basic protein (MBP)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB211","2800.00"
"215","Cryptococcal antigen","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB212","1200.00"
"216","D Xylose test","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB213","880.00"
"217","Faecal / Faecal fat test/ faecal chymotrypsin/ faecal elastase","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB214","800.00"
"218","H pylori serology for Coeliac disease /Celiac disease","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB215","960.00"
"219","HBV genotyping","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB216","2300.00"
"220","HCV genotyping","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB217","4485.00"
"221","Urinary Vanillylmandelic Acid (VMA)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB218","1748.00"
"222","Urinary metanephrine/Normetanephrine","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB219","2320.00"
"223","Urinary free catecholamine","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB220","2000.00"
"224","Serum aldosterone","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB221","1440.00"
"225","24 Hr urinary aldosterone","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB222","1200.00"
"226","Plasma renin activity","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB223","1280.00"
"227","Serum aldosterone/renin ratio","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB224","1200.00"
"228","Osmolality urine","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB225","360.00"
"229","Osmolality serum","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB226","360.00"
"230","Urinary sodium","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB227","120.00"
"231","Urinary Chloride","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB228","120.00"
"232","Urinary potassium","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB229","120.00"
"233","Urinary calcium","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB230","120.00"
"234","Thyroid binding globulin","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB231","880.00"
"235","24-hour urinary free cortisol","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB232","600.00"
"236","Islet cell antibody","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB233","960.00"
"237","Glutamic Acid Decarboxylase Autoantibodies test (GAD antibodies)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB234","1600.00"
"238","Insulin associated antibody","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB235","784.00"
