"SNo.","Procedure Name","Speciality Classification","Tier","Facility","Ward","Cghs Code No.","Rate (₹)"
"1","Consultation OPD","Consultation","TIER III","NABH","PRIVATE WARD","CN001","350.00"
"2","Consultation for Inpatients","Consultation","TIER III","NABH","PRIVATE WARD","CN002","350.00"
"3","Consultation OPD- Super speciality/Psychiatry","Consultation","TIER III","NABH","PRIVATE WARD","CN003","700.00"
"4","Urine Routine- pH, Specific Gravity, Sugar, Protein and Microscopy","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB001","80.00"
"5","Urine Microalbumin","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB002","194.00"
"6","Stool Routine and Microscopy","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB003","64.00"
"7","Stool for Occult Blood","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB004","80.00"
"8","Post Coital Smear Examination","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB005","320.00"
"9","Semen Analysis (Automated/Manual)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB006","200.00"
"10","Haemoglobin (Hb)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB007","40.00"
"11","Total Leucocytic Count (TLC)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB008","40.00"
"12","Differential Leucocytic Count (DLC)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB009","80.00"
"13","Erythrocyte Sedimentation Rate (ESR)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB010","80.00"
"14","Total Red Cell count with MCV,MCH,MCHC,DRW","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB011","40.00"
"15","Complete Haemogram/CBC, Hb,RBC Count and Indices,TLC, DLC, Platelet, ESR, Peripheral Smear Examination)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB012","240.00"
"16","Platelet Count","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB013","80.00"
"17","Reticulocyte Count","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB014","80.00"
"18","Absolute Eosinophil Count (AEC)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB015","80.00"
"19","Packed Cell Volume (PCV)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB016","40.00"
"20","Peripheral Smear Examination","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB017","80.00"
"21","Smear for Malaria/Filaria Parasite","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB018","80.00"
"22","Bleeding Time","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB019","40.00"
"23","Clotting Time","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB020","40.00"
"24","Osmotic Fragility Test","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB021","240.00"
"25","Bone Marrow Smear Examination","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB022","280.00"
"26","Bone Marrow Smear Examination with Iron Stain","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB023","640.00"
"27","Bone Marrow Smear Examination and Cytochemistry","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB024","9600.00"
"28","Activated Partial Thromboplastin Time (APTT)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB025","232.00"
"29","Rapid Test for Malaria (Card Test)/QBC Malaria Test","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB026","80.00"
"30","Bleeding Disorder Panel- PT, APTT, Thrombin Time Fibrinogen, D-Dimer/ Fibrinogen Degradation Products (FDP)","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB027","640.00"
"31","Factor Assays-Factor VIII","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB028","1200.00"
"32","Factor Assays-Factor IX","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB029","1200.00"
"33","Platelet Function Tests","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB030","1012.00"
"34","Tests for Hypercoagulable States- Protein C, Protein S, Antithrombin","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB031","2704.00"
"35","Tests for Lupus Anticoagulant","Laboratory Investigation","TIER III","NABH","PRIVATE WARD","LB032","1040.00"
